Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,66.2,-102.2,-90.0,top
C2,100nF,C_0603_1608Metric,64.2,-110.3,-90.0,top
C3,100nF,C_0603_1608Metric,66.2,-98.8,90.0,top
C6,100nF,C_0603_1608Metric,56.5,-95.2,90.0,top
C7,10nF,C_0603_1608Metric,61.0,-110.3,-90.0,top
C9,1uF,C_0603_1608Metric,53.0,-122.1,0.0,top
C10,1uF,C_0603_1608Metric,65.8,-122.1,180.0,top
C11,1uF,C_0603_1608Metric,57.8,-110.3,90.0,top
C12,100nF,C_0603_1608Metric,59.4,-110.3,90.0,top
C13,1uF,C_0603_1608Metric,62.6,-110.3,90.0,top
D1,1N5819,D_SOD-123,52.8,-58.6,0.0,top
D2,1N5819,D_SOD-123,66.0,-58.6,0.0,top
R1,10k,R_0603_1608Metric,57.6,-81.8,-90.0,top
R2,10k,R_0603_1608Metric,59.4,-81.8,-90.0,top
R3,10k,R_0603_1608Metric,63.0,-81.8,90.0,top
R4,10k,R_0603_1608Metric,61.2,-81.8,90.0,top
R5,100k,R_0603_1608Metric,58.1,-95.2,-90.0,top
R6,510,R_0603_1608Metric,55.8,-81.8,-90.0,top
R9,3k3,R_0603_1608Metric,53.0,-120.3,180.0,top
R10,3k3,R_0603_1608Metric,53.0,-123.9,180.0,top
R11,3k3,R_0603_1608Metric,65.8,-123.9,0.0,top
R12,3k3,R_0603_1608Metric,65.8,-120.3,0.0,top
R13,4k7,R_0603_1608Metric,53.0,-118.5,0.0,top
R14,4k7,R_0603_1608Metric,53.0,-125.7,180.0,top
R15,4k7,R_0603_1608Metric,65.8,-125.7,0.0,top
R16,4k7,R_0603_1608Metric,65.8,-118.5,0.0,top
R17,1k,R_0603_1608Metric,53.0,-116.7,180.0,top
R18,1k,R_0603_1608Metric,53.0,-114.9,180.0,top
R19,1k,R_0603_1608Metric,53.0,-129.3,180.0,top
R20,1k,R_0603_1608Metric,53.0,-127.5,180.0,top
R21,1k,R_0603_1608Metric,65.8,-129.3,0.0,top
R22,1k,R_0603_1608Metric,65.8,-127.5,0.0,top
R23,1k,R_0603_1608Metric,65.8,-116.7,0.0,top
R24,1k,R_0603_1608Metric,65.8,-114.9,0.0,top
U2,LD1117-3.3-4Tab,SOT-223-3_TabPin2,59.4,-63.4,90.0,top
